id,guid_dashed,name_en,faction,color,set,rarity_int,rarity_engine,setAndRarityKey,sun_cost,attack,health,display_sun,display_attack,display_health,crafting_buy,crafting_sell,is_hero,is_power,is_fighter,is_env,is_aquatic,is_teamup,is_burst,is_surprise,is_board_ability,is_unusable,usable,n_components_top,n_components_total,n_abilities,subtype_names,tags
91,42c3b1b3-32b7-45e3-b1e2-22a71b56bcd3,Prickly Pear,Plants,Guardian,Gold,1,R2,Bloom_Rare,5,,10,5,0,10,250,50,False,False,True,False,False,True,False,False,False,False,True,11,25,1,"Cactus, Fruit","teamup, destroy, anyplantfighter, notpineclone, cost6orless, randomplantcard, defense"
92,00f8f7f7-47ed-435e-91cf-1bccf134d528,Spineapple,Plants,Guardian,Silver,4,R0,Dawn_Common,3,,3,3,0,3,25,0,False,False,True,False,False,False,False,False,False,False,True,8,21,1,Fruit,"attack, anyplantfighter, teamup, notpineclone, cost6orless, randomplantcard"
94,74c87b4c-55fe-4745-8d6c-9ac4fd8ed082,Soul Patch,Plants,Guardian,Gold,3,R4,Bloom_Legendary,6,5,10,6,5,10,4000,1000,False,False,True,False,False,False,False,False,False,False,True,11,24,1,"Flower, Root","defense, notpineclone, control, fatty, randomplantcard, anyplantfighter, plantlegend"
95,d1f9eaca-3a91-44cf-9cb2-dc2506cbec73,Wall-Nut Bowling,Plants,Guardian,Gold,3,R4,Bloom_Legendary,8,,,8,0,0,4000,1000,False,False,False,False,False,False,True,False,False,False,True,8,27,2,Nut,"damage, defense, destroy, randomplantcard, plantlegend"
96,354f4b16-4381-4c8c-b524-e8cfedae524f,Nut Signal,Plants,Guardian,Superpower,2,R3,Superpower_SuperRare,1,,,1,0,0,0,0,False,True,False,False,False,False,True,False,False,False,True,9,33,2,Nut,"defense, teamup"
97,582a8395-5f6e-425c-b94c-04a7bfec877d,Shroom for Two,Plants,Kabloom,Gold,1,R2,Bloom_Rare,1,1,1,1,1,1,250,50,False,False,True,False,False,False,False,False,False,False,True,9,19,1,Mushroom,"weenie, anyplantfighter, notpineclone, rush, cost6orless, randomplantcard"
98,75f7fdda-1d3e-4b8f-8ffb-4db6c72c7533,Mushroom Ringleader,Plants,Kabloom,Gold,0,R1,Bloom_Common,3,,1,3,0,1,50,15,False,False,True,False,False,False,False,False,False,False,True,8,24,1,Mushroom,"weenie, rush, notpineclone, cost6orless, randomplantcard, anyplantfighter"
99,4365550a-8305-4982-a28a-51717cd38753,Poison Ivy,Plants,Kabloom,Gold,0,R1,Bloom_Common,3,1,3,3,1,3,50,15,False,False,True,False,False,False,False,False,False,False,True,10,20,1,"Leafy, Berry","weenie, rush, anyplantfighter, notpineclone, poison, cost6orless, randomplantcard"
100,1b84d98f-208b-4ff4-9ec6-7f409fa80c2a,Buff-Shroom,Plants,Kabloom,Silver,4,R0,Dawn_Common,2,1,1,2,1,1,25,0,False,False,True,False,False,False,False,False,False,False,True,9,22,1,Mushroom,"anyplantfighter, notpineclone, cost6orless, narrow, randomplantcard, buff"
101,632c9aa8-3c41-46ca-944d-5046bb4a6504,Petal-Morphosis,Plants,Kabloom,Gold,1,R2,Bloom_Rare,4,,,4,0,0,250,50,False,False,False,False,False,False,True,False,False,False,True,8,28,2,Flower,"needsfighter, randomplantcard"
102,76be5f28-4ad9-4206-984d-4565e4d660dd,Cherry Bomb,Plants,Kabloom,Gold,2,R3,Bloom_SuperRare,6,,,6,0,0,1000,250,False,False,False,False,False,False,True,False,False,False,True,8,15,1,Berry,"destroy, randomplantcard"
103,bd3f548c-51ca-4f6c-8621-85f0d9b81566,Wild Berry,Plants,Kabloom,Gold,1,R2,Bloom_Rare,2,4,1,2,4,1,250,50,False,False,True,False,False,False,False,False,False,False,True,10,34,2,Berry,"weenie, anyplantfighter, notpineclone, rush, cost6orless, randomplantcard"
104,3d2607ff-8b12-4bc4-b4fc-bf46832982b2,Pair of Pears,Plants,Kabloom,Gold,0,R1,Bloom_Common,4,2,2,4,2,2,50,15,False,False,True,False,False,False,False,False,False,False,True,9,19,1,Fruit,"anyplantfighter, notpineclone, teamup, cost6orless, randomplantcard"
